,TIME,VELOCITY
0,0,0
1,0.1,0
2,0.2,0
3,0.3,0
4,0.4,0.11
5,0.5,0.11
6,0.6,0.11
7,0.7,0.22
8,0.8,0.22
9,0.9,0.27
10,1,0.27
11,1.1,0.31
12,1.2,0.31
13,1.3,0.34
14,1.4,0.37
15,1.5,0.37
16,1.6,0.37
17,1.7,0.37
18,1.8,0.37
19,1.9,0.37
20,2,0.37
21,2.1,0.37
22,2.2,0.37
23,2.3,0.37
24,2.4,0.37
25,2.5,0.37
26,2.6,0.37
27,2.7,0.37
28,2.8,0.37
29,2.9,0.37
30,3,0.37
31,3.1,0.37
32,3.2,0.37
33,3.3,0.37
34,3.4,0.37
35,3.5,0.37
36,3.6,0.37
37,3.7,0.37
38,3.8,0.37
39,3.9,0.37
40,4,0.37
41,4.1,0.37
42,4.2,0.37
43,4.3,0.36
44,4.4,0.36
45,4.5,0.37
46,4.6,0.37
47,4.7,0.37
48,4.8,0.37
49,4.9,0.36
50,5,0.37
51,5.1,0.37
52,5.2,0.37
53,5.3,0.37
54,5.4,0.36
55,5.5,0.35
56,5.6,0.35
57,5.7,0.37
58,5.8,0.37
59,5.9,0.36
60,6,0.31
61,6.1,0.31
62,6.2,0.27
63,6.3,0.27
64,6.4,0.21
65,6.5,0.12
66,6.6,0.12
67,6.7,0.11
68,6.8,0.11
69,6.9,0.1
70,7,0.1
71,7.1,0.11
72,7.2,0.1
73,7.3,0.1
74,7.4,0.1
75,7.5,0.1
76,7.6,0.1
77,7.7,0.1
78,7.8,0.1
79,7.9,0.1
80,8,0.1
81,8.1,0.1
82,8.2,0.1
83,8.3,0.1
84,8.4,0.1
85,8.5,0.1
86,8.6,0.1
87,8.7,0.1
88,8.8,0.1
89,8.9,0.1
90,9,0.1
91,9.1,0.1
92,9.2,0.1
93,9.3,0.1
94,9.4,0.1
95,9.5,0
96,9.6,0
97,9.7,0
98,9.8,0
99,9.9,0
